id,organizacao_id,nome,created_at,updated_at
2cb55e1b-a133-47d8-a9eb-aec3008d31d6,131db844-18ab-4164-8d79-2c8eed2b12f1,MILHO SAFRINHA,2025-05-25 17:32:17.785659+00,2025-05-28 22:00:17.5335+00
4e2f1733-df90-47df-a767-d3ed6c914435,131db844-18ab-4164-8d79-2c8eed2b12f1,ARROZ,2025-05-23 09:36:19.657392+00,2025-05-28 22:00:04.094744+00
5723a7b3-986f-4214-93bf-addcd6f1c2d2,131db844-18ab-4164-8d79-2c8eed2b12f1,SORGO,2025-05-23 09:36:26.585229+00,2025-05-28 22:00:24.998133+00
8bbd28bb-ef35-4031-b7df-ca0b6f46a320,131db844-18ab-4164-8d79-2c8eed2b12f1,FEIJÃO,2025-05-23 09:36:48.508377+00,2025-05-28 22:00:07.80323+00
a9c20688-55f1-4939-bbc1-65fde0887945,131db844-18ab-4164-8d79-2c8eed2b12f1,ALGODÃO,2025-05-09 10:47:26.468565+00,2025-05-28 22:00:00.493932+00
bee74bff-016a-403f-a0e9-5a7c5b23dc16,131db844-18ab-4164-8d79-2c8eed2b12f1,SOJA,2025-05-09 10:47:21.140748+00,2025-05-28 22:00:20.592907+00
e3861935-9518-4ff5-a1fa-dbf46a8c99ca,131db844-18ab-4164-8d79-2c8eed2b12f1,MILHO,2025-05-09 14:17:07.698881+00,2025-05-28 22:00:12.059713+00
