id,organizacao_id,equipamento,ano_fabricacao,marca,modelo,quantidade,valor_unitario,valor_total,tipo,created_at,updated_at,percentual_reposicao,ano_referencia_reposicao,equipamento_outro,marca_outro,reposicao_sr
11d574f8-2c9a-4e5f-b9f4-ee34f75ea4e8,131db844-18ab-4164-8d79-2c8eed2b12f1,CAMINHAO,2013,FORD,2429L,1,340000.00,340000.00,REALIZADO,2025-05-26 10:27:54.257966+00,2025-05-26 10:27:54.257966+00,10.00,2020,,,34000.00
db163cb0-b4ae-4cc8-9f2e-b7f043360d01,131db844-18ab-4164-8d79-2c8eed2b12f1,CAMINHAO,2017,FORD,1119,2,136000.00,272000.00,REALIZADO,2025-05-26 10:26:27.344943+00,2025-05-26 10:26:27.344943+00,10.00,2020,,,13600.00
e64ab389-f03c-4365-a7ff-6e0e0ba93e30,131db844-18ab-4164-8d79-2c8eed2b12f1,CAMINHAO,2006,VOLVO,VM310,1,470000.00,470000.00,REALIZADO,2025-05-26 10:28:37.039369+00,2025-05-26 10:28:37.039369+00,10.00,2020,,,47000.00
